Track name,Artist name,Album,Playlist name,Type,ISRC
"Nevermore - The River Dragon Has Come","","","Muasicas do Kuduairo","Playlist",""
"10. Rupert Holmes - Escape (The Piña Colada Song)","","","Muasicas do Kuduairo","Playlist",""
"Dancing in the Moonlight (King Harvest Through the Years)","","","Muasicas do Kuduairo","Playlist",""
"Wig Wam - “Do Ya Wanna Taste It” (Peacemaker Theme Song)","","","Muasicas do Kuduairo","Playlist",""
"THE FINE PRINT | The Outer Worlds Song","","","Muasicas do Kuduairo","Playlist",""
"Djavan - Sina (Áudio Oficial)","","","Muasicas do Kuduairo","Playlist",""
"CeeLo Green - FUCK YOU (Official Video)","","","Muasicas do Kuduairo","Playlist",""
"Lily Allen - Fuck You [Tradução/Legendado]","","","Muasicas do Kuduairo","Playlist",""
"System Of A Down - Toxicity (Official HD Video)","","","Muasicas do Kuduairo","Playlist",""
"Rich Brian - New Tooth (Official Music Video)","","","Muasicas do Kuduairo","Playlist",""
"Rich Brian - Yellow ft. Bekon (Official Video)","","","Muasicas do Kuduairo","Playlist",""
"George Ezra - Budapest (Official Video)","","","Muasicas do Kuduairo","Playlist",""
"Ice Cube - It Was A Good Day","","","Muasicas do Kuduairo","Playlist",""
"Justin Bieber - Peaches ft. Daniel Caesar, Giveon","","","Muasicas do Kuduairo","Playlist",""
"Rich Brian - Cold (Official Music Video)","","","Muasicas do Kuduairo","Playlist",""
"Imagine Dragons - Bones (Official Lyric Video)","","","Muasicas do Kuduairo","Playlist",""
"Michael Bublé - Love You Anymore [Official Music Video]","","","Muasicas do Kuduairo","Playlist",""
"HYBS - Dancing with my phone","","","Muasicas do Kuduairo","Playlist",""
"Lil Tecca - Ransom (Official Music Video)","","","Muasicas do Kuduairo","Playlist",""
"Michael Jackson - 05. A Place With No Name (Original Version) [Audio HQ] HD","","","Muasicas do Kuduairo","Playlist",""
"Tame Impala - The Less I Know The Better (Audio)","","","Muasicas do Kuduairo","Playlist",""
"Beyoncé - CUFF IT (Official Lyric Video)","","","Muasicas do Kuduairo","Playlist",""
"MY CONQUISTER - ENTREGADOR DO IFOOD (Clipe Oficial) prod. @_beatsbysav​","","","Muasicas do Kuduairo","Playlist",""
"WHARF TALK","","","Muasicas do Kuduairo","Playlist",""
"MY CONQUISTER - SIGMA LIFESTYLE 🗿🍷 (Clipe Oficial) prod. @vhulto","","","Muasicas do Kuduairo","Playlist",""
"Gorillaz - Controllah ft. MC Bin Laden (Official Audio)","","","Muasicas do Kuduairo","Playlist",""
"HEAVEN TO ME","","","Muasicas do Kuduairo","Playlist",""
"DOGTOOTH","","","Muasicas do Kuduairo","Playlist",""
"Kendrick Lamar - N95","","","Muasicas do Kuduairo","Playlist",""
"The Jubalaires — Noah [ Bassic Remix ]","","","Muasicas do Kuduairo","Playlist",""
"QUE BELEZA (PIRU NA PORTUGUESA) - Nego Bam ft. Tim Maia","","","Muasicas do Kuduairo","Playlist",""
"Rich Brian - VIVID feat. $NOT (Official Music Video)","","","Muasicas do Kuduairo","Playlist",""
"Rich Brian - Sundance Freestyle","","","Muasicas do Kuduairo","Playlist",""
"Death Parade - Last Theater [Legendado | CC]","","","Muasicas do Kuduairo","Playlist",""
"Kanye West - We Don't Care (Legendado)","","","Muasicas do Kuduairo","Playlist",""
"Kanye West · PARTYNEXTDOOR - Ghost Town","","","Muasicas do Kuduairo","Playlist",""
"FIFTY FIFTY (피프티피프티) - 'Cupid' (TwinVer.) Official Lyric Video","","","Muasicas do Kuduairo","Playlist",""
"bbno$ & Rich Brian - edamame (Official Video)","","","Muasicas do Kuduairo","Playlist",""
"Y2K, bbno$ - Lalala (Lyrics / Lyric Video) Letra","","","Muasicas do Kuduairo","Playlist",""
"Michael Jackson - They Don't Care About Us (Remastered Version)","","","Muasicas do Kuduairo","Playlist",""
"Michael Jackson - Smooth Criminal (Radio Edit)","","","Muasicas do Kuduairo","Playlist",""
"Michael Jackson - Black or White","","","Muasicas do Kuduairo","Playlist",""
"Abbot - Ando Negro","","","Muasicas do Kuduairo","Playlist",""
"Borges - Iphone Branco (Prod. L3ozin)","","","Muasicas do Kuduairo","Playlist",""
"WUSYANAME (Audio)","","","Muasicas do Kuduairo","Playlist",""
"DJ Khaled - I'm the One ft. Justin Bieber, Chance the Rapper, Lil Wayne (Lyrics / Lyric Video)","","","Muasicas do Kuduairo","Playlist",""
"The Weeknd · Daft Punk - Starboy","","","Muasicas do Kuduairo","Playlist",""
"Kiss - I Was Made For Lovin' You","","","Muasicas do Kuduairo","Playlist",""
"Mc Sid , Spinardi - O Casamento (Animação Oficial) - Prod. Ugo Ludovico","","","Muasicas do Kuduairo","Playlist",""
"Black Sabbath - Heaven and Hell","","","Muasicas do Kuduairo","Playlist",""
"Yasuha - Flyday Chinatown","","","Muasicas do Kuduairo","Playlist",""
"Anri - Remember Summer Days (Timely!! Track 11)","","","Muasicas do Kuduairo","Playlist",""
"Billy Idol - Dancing With Myself","","","Muasicas do Kuduairo","Playlist",""
"Bon Jovi - You Give Love A Bad Name","","","Muasicas do Kuduairo","Playlist",""
"The White Stripes - Seven Nation Army (Audio)","","","Muasicas do Kuduairo","Playlist",""
